Text,Category
"কারো জন্য কিছুই কোনোদিন করতে পারি নাই, শুধু নিয়েই যাচ্ছি..........",ranoAG
বাড়ি গিয়ে পরিবারের সঙ্গে ঈদ করে আসুন। ঈদের পর ইনশাআল্লাহ আন্দোলন গড়ে তুলুন। আমরা ছিলাম আছি থাকবো,ranoAG
আমরা দিরিলিস প্রেমী। দীর্ঘ ১সিজন থেকে দেখা শুরু করে ২সিজন এ এসে থেমে আছি।আপনারা দিরিলিস রাত প্রচার করতে না পারলে দিনে করুণ। দিনে না পারলে সন্ধ্যায়।,ranoAG
মাকে খুন করার মাধ্যমে এই ছেলে প্রমান করলো ও চাকুরির জন্য অযোগ্য তবে কিলার হিসাবে ও ভালো করবে।,ranoAG
আমার বাবা মা ও প্রতিটা মূহুর্তে আমাকে এই যন্ত্রনা দিয়ে যাচ্ছে।কিন্তু তাদের কোনভাবেই বুঝাতে পারি না কত চেষ্টা করছি।তারা মনে করে শুধু পড়ালেখা শেষ করলেই চাকরী।,ranoAG
"প্রধানমন্ত্রী যদি ১০ কোটি লোকের চাকরী দিয়ে থাকেন,তবে তার বেকার থাকার কথা নয়।",ranoAG
"মা তো মাই, রেগে গিয়ে না হয় একটু বকা দিছেই, তাই বলে খুন!!",ranoAG
গত বছরের এই আগস্টেই ঐ একই রুটে রুপা নামক সংগ্রামী এক নারী ও ভবিতব্য আইনজীবীকে গণধর্ষণের হত্যা করা হয়। উক্ত অপরাধীর ৪ জনের দন্ডিত ফাঁসি এখনো কার্যকর হয় নি।এই ঘৃণিত দর্শকদের থামানোর জন্য একটি জনসমক্ষে ফাঁসি কার্যকর করার অনুরোধ জানাচ্ছি। নচেত এ ভাবে রূপারা বাসের ড্রাইভার হেলফারদের শিকার হতেই থাকবে। ,ranoAG
পঁচিশ টাকা দিয়া চিপস্ কিনলাম। খুলেই দেখি মাত্র ০৭ পিছ্। বাকীটুকু বাতাস!!!!!!!,ranoAG
ফাউল মার্কা খেলা গুলি দেখ বইসা বইসা? তার চাইতে বিটিভি দেখ ভালো লাগবো,ranoAG
"মেসিরা বিধর্মী হয়েও মানবতার উজ্জল দৃস্টান্ত রাখলো,আর এখানে মেসিদের জায়গায় সৌদিআরব থাকতো তাইলে মানবতা গর্তে লুকাতো",ranoAG
কালকের বাস শিডিউলটা দিলে ভালো হয়।,ranoAG
"মাসরাফি তার হলফ নামায় উল্লেখ করেছে ঢাকায় যে তার ফ্লাট রয়েছে তার দাম ৮ লাখ টাকা আমি বি বি সির সংবাদের বরাত দিয়ে তাকে জানিয়ে দিতে চাই আমি তার ফ্লাটের দাম ১৭ লাখ দিব যদি সে বিক্রি করে, আর যদি সে বিক্রি করতে আগ্রহ না দেখায় তাহলে বুজতে হবে তার হলফ নামায় কারসাজি আছে।",ranoAG
"ম্যাচ বাতিল করা হয়েছে। এই ম্যাচ না খেলার কারনে আর্জেন্টিনা আর্থিক ক্ষতির সম্মুখীন হবে ৩ মিলিয়ন ডলার। সেই ক্ষতিপূরণ সম্পূর্ণ মেসি নিজেই বহন করবে। ধন্যবাদ লিওনেল মেসি,, দোয়াকরি তোমরা বিশ্বকাপ জয় কর।",ranoAG
আর্জেন্টিনা আর মেসিভক্ত হিসেবে এই খবরটা শোনার অপেক্ষায় ছিলাম,ranoAG
আপনারা দিরিলিস চালু করুন। আর রবিবারের পরিবর্তে শনিবার থেকে শুরু করুন। দিরিলিসের কারনে আপনাদের চ্যানেল আজ জনপ্রিয়তায় অন্যান্য উচ্চতায়।,ranoAG
নির্যাতিত ফিলিস্তিনিদের অনুরোধে ম্যাচ বাতিল করার জন্য আর্জেন্টিনাকে ধন্যবাদ.,ranoAG
"ব্রাজিল সাপোর্ট করি, কিন্তুু মেসি কে খুবি পছন্দ করি,, নিউজটা সোনে মেসির প্রতি ভালোবাসা বেরে গেলো,, দোয়া করি শুধু মাএ মেসির জন্য হলেও, অার্জেন্টিনা এবার বিশ্বকাপ জিতুক,।",ranoAG
স্বৈরাচার পডনের দুর্বার আন্দোলন এখনি শুরু করা আবশ্যক। এই সরকার রাজাকার আলবদরের চাইতেও জঘন্য হয়ে উঠেছে।,ranoAG
"কখনো আর্জেন্টিনার সার্পোট করতাম না, তবুও ইসরাইলের সাথে ম্যাচ বাতিল করার জন্য ধন্যবাদ জানালাম।",ranoAG
"আর্জেন্টিনাকে অনেক ধন্যবাদ, যদি খেলতে যেতো তাহলে বাংলাদেশের হাজারো ভক্তের অন্ধবিশ্বাস অার থাকতো না, মুসলিমদের হীয় করে জেরুজালেমকে পুরোপুরি দখলই ছিলো এই খেলার মূল লক্ষ,",ranoAG
"ধন্যবাদ আর্জেন্টিনা ও মেসিকে। খুনি, দখলদার ইসরাইলের বিরুদ্ধে না খেলার জন্য। এর মাধ্যমে আর্জেন্টিনা সমর্থকদের মাঝে মেসিদের প্রতি ভালবাসা বেড়ে গেছে।",ranoAG
মেসি মানুষ টা এমনই- যে শুধু অবিরাম ভালোবাসা পাওয়ারই যোগ্য। ধন্যবাদ মেসি। নিপীড়িত ফিলিস্তিনি জনগণের দোয়া একটু হলেও তুমি পাবে। লাভ ইউ বস।,ranoAG
যদিও আমি ব্রাজিলের সমর্থক তবুও মেসিদের এই সিন্ধান্ত কে স্যালুট।কাপ টা যদি ব্রাজিলের হাতে না যায় তাহলে যেনো মেসির হাতে যায়।কারন তার এই কাপ টা প্রাপ্য।,ranoAG
জামাইর পকেট থেকে টাকা চুরি করতে গিয়ে ধরা খাইসি। কখন যে পিছন দি দাড়াই ছিলো দেইখা এত্ত জোরে চিল্লান দিসি।৭ দিন চোরের ১ দিন গেরস্থ,ranoAG
আমি যদিও ব্রাজিলের সমরথক তবুও আর্জেন্টিনা ফুটবল ফেডারেশনকে ধন্যবাদ ম্যাচটি বাতিল করার জন্য,ranoAG
 আমি পঞ্চগড় জেলার আটোয়ারী উপজেলার রাধানগর প্রধান পাড়া থেকে বিবিসি লাইভ দেখছি। আমি পঞ্চগড় পর্যন্ত আন্তঃনগর ট্রেন এবং ঠাকুরগাঁও এর পুরাতন বিমানবন্দর চালু করার জন্য বর্তমান সরকারের পদক্ষেপ গ্রহনের জন্য জোর দাবী করছি। আশা করি বিবিসি গুরুত্বপূর্ণ ভূমিকা রাখবে।,ranoAG
আন্তরিক কৃতজ্ঞতা ও ধন্যবাদ জানাচ্ছি। এজন্যই আমরা আর্জেন্টিনা ফুটবলের একনিষ্ঠ সমর্থক।,ranoAG
"যদি উরুগুয়ে ভাল দল,তবে মিশরের আছে সালাহ এর মত প্লেয়ার।অনিশ্চিত সব, মাঠের খেলায় চোখ রাখা দরকার।",ranoAG
"এই ধরনের ধর্ষনের শাস্তি আমার কাছে মৃত্যুদন্ড অথবা মিডিল ইষ্টের মত জনস্মুখে জবাই করা উত্তম মনে হয়।কিন্তু;যে বা যারা পড়ালেখা করা উচ্চ শিক্ষিত ছেলে মেয়েরা এই বাংলায় প্রেমের নামে প্রতিদিন ধর্ষিত হয় বা যারা ধর্ষন করে,বা প্রতিদিন শত শত ভ্রুন হত্যা করছে তাদের কি ধরনের শাস্তি হওয়া দরকার!",ranoAG
অভিনন্দন আর্জেন্টাইন ফুটবল দল! একজন ব্রাজিলীয় ফ্যান হিসেবে আমি অভিভূত!,ranoAG
"স্যালুট আর্জেন্টাইন ফুটবল ফেডারেশনকে , ধন্যবাদ আমাদের বস মেসিকে , তো রাশিয়া বিশ্বকাপে আমি আর্জেন্টাইনদের সাফল্য ও সুস্থতা কামনা করি",ranoAG
আর্জেন্টিনার সমর্থক হয়ে ভুল করিনি। আমরা বিশ্বকাপের আগেই বিশ্ব জয় করলাম। মেসি তোমাদের কে ভালোবাসি!,ranoAG
কালকে সিদ্ধান্ত নিছিলাম আর্জেন্টিনা সাপোর্ট করবনা আর। আজকে আর্জেন্টিনার প্রতি ভালবাসা আরেকটু বাড়ল।,ranoAG
ইসরায়েল এর সাথে খেললে নিশ্চয় হারতো হারজেনটিনা। এই ভাবে তাদের রাশিয়া বিশ্বকাপও না খেলা উচিৎ,ranoAG
আমি ব্রাজিল সমর্থক। আর্জেন্টিনার এই সিদ্ধান্তকে স্বাগত জানাই। আর্জেন্টিনা জেরুজালেমের ম্যাচটি খেললে মুসলিম বিশ্বে তাদের সমর্থন হারাতো।,ranoAG
"কারো কারো প্রোফাইলে গেলে দেখা যায় ""দিজ প্রোফাইল ইজ লকড"" লেখা।জানতে চাই প্রোফাইল কিভাবে লকড করে?",ranoAG
ইসরায়েলের সাথে ম্যাচ বাতিলের জন্য অার্জেন্টিনাকে অনেক ধন্যবাদ ও ভালবাসা,ranoAG
আমি ব্যক্তিগত ভাবে একজন ব্রাজিল সাপোর্টার।তবু মেসিদের ইজরায়েল ম্যাচটি বয়কট করার জন্য আন্তরিকভাবে কৃতজ্ঞতা জানাচ্ছি।,ranoAG
"আমার কিছু বন্ধু আগে আর্জেন্টিনার সমর্থক আছিল, হঠাৎ করে উনারা এখন ব্রাজিল সমর্থক হয়ে গেল। বিষয়টা হাস্যকর!",ranoAG
পারিবারিক শিক্ষার অভাবে এমন ধরনের পশুর জন্ম হচ্ছে,ranoAG
"প্লিজ সম্য,সাব্বিরকে আবার দলে আনুন!ওরা খেলা না পারলেও স্টাইল ছিল!...আর এখন যেগুলা আছে এগুলার কিছুই নেই",ranoAG
"মোঃ সালাহ এর একক নৈপুণ্যতায় মিশর আজকে বিশ্বকাপে, আশা রাখি সালাহ কাল তার সেরা খেলাটা দিয়ে তার দলের জন্য জয় চিনিয়ে আনবেন",ranoAG
"সবসময় সুখে দুখে আর্জেন্টিনার পাশে ছিলাম, আছি এবং থাকব। আর্জেন্টিনার জন্য সবার নিকট দোয়া প্রত্যাশী। ",ranoAG
"তুমি যত বুড়া হও অসুবিধা নেই, চেহারা কুঁচকায় যাক নো প্রবলেম, তোমার মনটা এখন যেমনি আছে, ভবিষ্যতে ও যেন তেমনি থাকে এটাই আশা করি।",ranoAG
প্রীতমের সাথে দেশের বড় বড় পুলিশ কর্মকর্তাদের সাথে দহরম মহরম সম্পর্ক বিদ্যামান। সে-ই আড়াল থেকে কলকাঠি নেড়েছে।,ranoAG
"ভাগ্য ভালো যে মামলায় বলা হয়েছে আসিফ অপমানকর কথা বলেছে, এমন বললেও কিছু বলার ছিলো না যে আসিফ ইয়াবা ব্যবসায়ী",ranoAG
"এটা তো গ্ৰেফতার করার মামলাই নয়, তার উপরে আবার রিমান্ড? শুয়োরের বাচ্চারা আইন আদালতের গোয়া মেরে গয়া কাশী পাঠিয়ে দিল।",ranoAG
"কি লিখবো ভেবে পাচ্ছি না,তবে একটা কথা বলি, ধর্মকে ধারন করার চেষ্টা করেন,তাহলে ধর্মই ধার্মিককে রক্ষা করবে,সে এহকাল হোক আর পরকাল হোক।লোকনাথ ব্র,হ্মচারীর একটি উপদেশ মনে পরলো, ""আমি কে তা জানার দরকার নেই,শুধু মন আর জল হলেই আমি তুষ্ট """,ranoAG
আসিফ ভাই জনপ্রিয় একজন শিল্পী। তার সাথে এমন ব্যবহার তার ভক্তরা কখনো মেনে নিতে পারেনা এবং পারবেও না,ranoAG
আসিফ আবার কার পাকা ধানে মই দিলো?আসিফ বিএনপি করে বিধায় উনার উপর ব্যক্তিগত আক্রোশ ঢালা হচ্ছে আর এটাই আমার সোনার বাংলাদেশ!!!,ranoAG
সরকারও নানাভাবে চেষ্টা করছে সড়ক দুর্ঘটনা থেকে বেরিয়ে আসতে।,ranoAG
"আসিফের সবচেয়ে বড় অপরাধ, উনি জাতীয়তাবাদী রাজনৈতিক মতাদর্শে বিশ্বাসী।সবই রাজনৈতিক প্রতিহিংসা।",ranoAG
দ্রুত রিমান্ডে নিলে হয়তো অারো নতুন তথ্য বেড়ীয়ে অাসতে পারে। ধন্যবাদ! বাংলাদেশ পুলিশ প্রশাসন।,ranoAG
কতটুকু ঘৃণা জন্মাবে প্রশাসনের প্রতি তার ভক্ত শ্রোতাদের এমন প্রশ্ন একবারও জাগেনি প্রশাসনের l কত খুনের দরবার হয় থানায় বসে আর এই শিল্পীর দরবার হলে এমন কি হতো ,ranoAG
"মিশর জিতবে ইনশাআল্লাহ,,, কারণ মিসরের আছে মোহাম্মদ সালাহ র মত বিশ্বমানের তারকা,",ranoAG
"জিতলে নাচবে, হারলে গালি দিবে... এটাই এদের বৈশিষ্ট্য.. .. সাপোর্ট তো দিতে পারেনা,পারে খালি মিসবিহেভ করতে",ranoAG
"শফিক তুহিন কে?? আজ প্রথম নাম শোনলাম!!শিল্পী আফিসের বিরুদ্ধে অভিযোগ কতটা সত্য, সেটা বলতে পারলাম না! তিনি কি প্রতিহিংসার স্বীকার?",ranoAG
বেপারটা খুব জটিল হয়ে যাচেছ।হয়তো এটার পিছনে কোনো রাজনৈতিক ইসো ও কাজ করতে পারে,ranoAG
আসিফের একটাই অপরাধ সে বিএনপির রাজনীতি করে তাছাড়া আর কোন অপরাধ নেই ভাগ্যিস তাকে একরামুল এর মতো পরিনতি করে নাই পুলিশ,ranoAG
অবশ্যই একটি সাঁজানো নির্বাচনের দিকে যাচ্ছে বাংলাদেশ । এ নির্বাচনে জনগনের মতের প্রতিফলন ঘটবেনা,ranoAG
"শুধু বিএন‌পি প‌রিবা‌রের সন্তান, তাই সামান্য এক মামলায় এত্ত‌কিছু !!",ranoAG
"এটি সারা বছর প্রয়োজন, তার আগে জাতীয় বেতারে ও জাতীয় টিভিতে জনগন জানাতে হবে। এর পর যদি কেহ আইন না মানে, তার বিরুদ্ধে জরিমানা করতে হবে।",ranoAG
মনে হচ্ছে আসিফকে ষড়যন্ত্র করেই গ্রেফতার করা হয়েছে।,ranoAG
মুসলমানরা যেখানেই থাকে সেখানেই তারা অন্য সম্প্রদায়ের মানুষের সাথে গন্ডগোল শুরু করে।মুসলমানরা তাদের ধর্মীয় উগ্রতার কারণে পৃথিবীর কোন দেশেই শান্তিতে বসবাস করতে পারে না।,ranoAG
বিশ্বের সকল মুসলমানরা চাই উইঘুর স্বাধীনতা। আর মুসলিম দেশ গুলোকে জোরালো উদ্যেগ নিতে হবে । আল্লাহ্ ছারা কোন উপায় নাই।,ranoAG
আমি মুসলিম দেশ ছাড়া আর কোন দেশ কে বন্ধু মনে করি না। এরা একে অপরের জাত ভাই।,ranoAG
শুনলাম বিশ্বকাপ শুরুর আগে বাংলাদেশ রাংকিং ডাবল সেন্চুরি পূরন করতে পারলে স্বাগতিক রাশিয়াকে বাদ দিয়ে বাংলাদেশকে বিশ্বকাপ খেলার সুযোগ দেওয়া হবে।,ranoAG
উরুগুয়ে সুয়ারেস এবং মিশরে মোঃ সালাহ আছে | নিঃ সন্দেহে খেলা টি হাড্ডা-হাড্ডি হবে |,ranoAG
আইপিএল থেকে যারা ভালো খেলছে তারা অল্প সময়েই বিখ্যাত খেলোয়াড়দের সরিয়ে জাতীয় দলে স্থান করে নিচ্ছে। আপনাদের ক্রিকেটে পরের জেনারেশন কে তুলে আনতেই হবে।,ranoAG
আমরা তো বছরে একটা ম্যাচ জিতলেই খুশি থাকা পাব্লিক। খেলোয়াড় বোর্ড সবাই তাই অই থেরাপিতেই আমাদের মজা দেয়!,ranoAG
"সুচিন্তিত মতামত।দারুন বলেছেন।বিষয়টাকে ইতিবাচকভাবে উপস্থাপনের জন্য অসংখ্য ধন্যবাদ,ভাই।",ranoAG
"বর্তমান আওয়ামী লীগ শেখ মুজিবের নাম ডুবাচ্ছে। লাভবান হচ্ছে কিছু চামচা নেতা, ক্ষতি হচ্ছে শেখ রেহানার পিতার নাম",ranoAG
দেশে কর্মসংস্থানের অভাবে অবৈধভাবে বিদেশ গিয়ে বাইরের দেশে বাংলাদেশীরা ঘৃণার পাত্র হচ্চে। বাংলাদেশের অতিরিক্ত জনসংখ্যা ও কর্মসংস্থানের অভাব এর কারণ।,ranoAG
"সবাই এখন মন্ত্রী হওয়ার চিন্তাই বিভোর! খেলার মতো ছোটখাটো বিষয় নিয়ে চিন্তা করার সময় কই বিশ্বসেরা অলরাউন্ডরের? আগামী নির্বাচন, পতাকাবাহী গাড়ী এসব স্বপ্নে রাতে ঘুমোতে পারেন না!",ranoAG
একজন রক্তবর্ণ চক্ষুবিশিষ্ট কোচ দরকার। বেত নিয়ে হাটবে আর অথর্বদের পাছায় কস কস করে বাড়ি মারবে।,ranoAG
"কোটাভুক্ত খেলোয়াড় বাড়ানো হল তারপর ও হার, আসলে সাকিব কে দিয়ে আর চলবে না কারণ তার খেলায় মনোযোগ নাই তার মণ তো বিনা ভোটে এম. পি, মন্ত্রী হওয়ার খায়েশ।",ranoAG
"এটা পাকিস্তান নয় এটা আফগানিস্তান, তাই হার জিত এর খেলায় অহংকার কম করা উচিত।",ranoAG
বাংলাদেশে কোনও বোলারের গুগলি নাই।।আর সাকিব তো এমপি হবার স্বপ্নে বলিংটা দিনকে দিন সাদামটা হয়ে যাচ্ছে,ranoAG
"প্রতিটি সার্থক প্রেমের কবিতা বলতে বোঝায় যে কবি প্রেমিকাকে পায় নি, প্রতিটি ব্যর্থ প্রেমের কবিতা বোঝায় যে কবি প্রেমিকাকে বিয়ে করেছে।",ranoAG
এগিয়ে যাও বাংলাদেশ টাইগার বাহিনী । ১৮ কোটি মানুষ আপনাদের পিছনে আছে । তোমরা ভয় কর না জয় করো,ranoAG
আজকের খেলায় আমি উরুগুয়ে সাপোর্ট করব | তারপরও মিশর খুব ভালো খেলে |,ranoAG
ইর্কাদি দলে ঢুকবে।মেসির নেতৃত্বে আর্জেন্টিনার আক্রমন ভাগ বিশ্বের সেরা তাই বিশ্বকাপ আর্জেন্টিনায় জিতবে,ranoAG
"এই বার হয়নি তো কি হয়েছে,পরের বার হবে! গো টাইগার গো!",ranoAG
"আপনার জালায় আমরা শেষ হইয়া যাচ্ছি, আপনি আর কতো মিথ্যা কথা বলবেন?কোন দেশের প্রধান এতো মিথ্যা বলে নাকি?আপনাকে ছাএরা এখন ঘৃনা করে।",ranoAG
"পর সমালোচনা কারী কে আল্লাহ্‌ পছন্দ করেন না, পর সমালোচনা হল গীবত করা, গীবত করা মানে তার মায়ের শরীরের মাংস চিবিয়ে খাওয়ার সমান।",ranoAG
মোবাইলটা কিছুক্ষণ চার্জ দিয়ে নি তারপর বলছি ,ranoAG
"মেয়েদের হয়েছে, ছেলেদের হয় নি। কারণ তারা তো ছেলে",ranoAG
বিশ্বকাপ মানেই ব্রাজিল। কিছু আবাল আছে কিছু আজাইরা দল নিয়া পকপক করে। যে গুলো নাকি অনেক কষ্ট করে বিশ্বকাপে উঠেছে।,ranoAG
"ইয়াবা খেলে চেতনা শক্তিশালী হয়। আইফেল টাওয়ারের ন্যায় শক্ত হয়। বদি সাহেবকে ধন্যবাদ, মায়ানমার থেকে ইয়াবা এনে দেশের অর্থনীতির চাকাকে স্যাটেলাইটের গতি দেবার জন্য।",ranoAG
এই রিপোটটাই এই অভিযানের যোক্তিকতা প্রমান করছে।এই অভিযান চলুক।,ranoAG
বদি ভাই প্রকাশ্যে সৌদি আরবে গেছে কোন শালায় কয় তিনি গোপনে সৌদি আরব গেছে?,ranoAG
"যাদের নামে, থানাই মামলা আছে, তাদের কে ক্রসফায়ার করা হউক",ranoAG
গডফাদাররা সব ক্ষমতাশীন দলের লোক ধরে পড়বে কিভাবে,ranoAG
"হাড্ডাহাড্ডি খেলা হবে অবশ্যই বলা যায়.কিন্তু,মনে হচ্ছে খেলা ড্র হবে বা উরুগুয়ে জিতবে ১-০ তে.",ranoAG
শত বড় অপরাধ করার পরও খুব সহজে  ক্ষমা করে দেওয়া মানুষরাই আসলে আপনজন। আমার সেই সব আপন মানুষরাই আমার জীবনের প্রতিটা মুহূর্তের চলার সঙ্গী এবং আদর্শের ও....আজ বা অতীতে যা করছি সব কিছুর জন্য সত্যিই আমি অনুতপ্ত। এইভাবেই পাশে থাকার চেষ্টা করো যদিও আমি হাজারও ভুল করি। আর অবশ্যই ধন্যবাদ না দিয়ে পারলাম না।,ranoAG
"মানসিক বিকারগ্রস্ত একজন মানুষ কে কেউ আইডল মনে করে না। উনি মানুষ কে মজা দিচ্ছে, মানুষ মজা নিচ্ছে। শুধু এই টুকুই। এই আজাইরা ব্যাপার নিয়ে মাথা ঘামানো বোকামি ছাড়া কিছুই না।",ranoAG
এদের শাস্তি হওয়া উচিত,ranoAG
"বাংলাদেশের সরকারি শিক্ষকরা বর্তমানে শিক্ষার্থীর সাথে আদিমকালের মত আচরন করিতেছে,যার বিবরন দেশের দৈনিক পত্রিকায় প্রতিদিন প্রতিবেদন তুলে ধরা হচ্ছে।",ranoAG
"নতুন কিছু না, ডিক্লেয়ার দিয়ে ধরা আরম্ভ করলে তাই হবে",ranoAG
"আইন শুধু অপরাধ ধরে আর ঝাড়ে,  নির্মুল করতে পারে না।",ranoAG
আওয়ামীলীগ দেশ কে উন্নয়নের জোয়ারে ভাসিয়ে ভারতে পাঠিয়েছে। আবার ক্ষমতায় আসলে উন্নয়নের বন্যায় উগান্ডায় পাঠিয়ে দেবেন বলে আশা করি।।জয় বাংলা,ranoAG
সরকারের ইচ্ছাই এরা আত্নগোপন হতে পারছে,ranoAG
"কি আর বলব দেশ তো আমাদেরই, যা কিছু যাচ্ছে সব কিছু প্রশাসনের ওপর যাচ্ছে",ranoAG
"আমি আর্জেন্টিনার সাপোর্ট হয়ে এবার বিশ্বকাপ চাই না, কারণ আর্জেন্টিনা কাপ জিতলে নেইমার কে সারা জীবন চিরকুমার থাকতে হবে, কারণ বান্দবী বলেদিয়েছে নেইমার এবার বিশ্বকাপ জিতলে তাকে বিয়া করবে, না হলে করবে না,",ranoAG
উনি খুবই বিচক্ষণ ব‍্যবসায়ী দেখতে চাই কীভাবে উনি মার্ক জুকারবার্গকে চিন্তায় ফেলেন,ranoAG
"বাবারে রুমে আটকাইয়া টানা ৫ বার নুসরাতফারিয়ার পটকা গান আর মাফুজুর রহমানের সুখ পাখি গান হুনান লাগবে, তাইলে বাবা ঠিক হবে",ranoAG
আরেকটা বউ আছে সে কথাটা নাকি সে কাজী অফিসে গিয়ে বলছে বিয়ের সময়!!!!,ranoAG
বাবা রামদেব আপনি যদি পাতাঞ্জালি হারবাল উট মুত্র বাজারে আনতেন তাহলে ভারত বাংলাদের অহিন্দুের কিছুটা উপকারে আসতো।,ranoAG
মাছরাঙা চ্যানেলের সবচেয়ে জনপ্রিয় অনুষ্ঠান দিরিলিস বন্ধ করবেন না দয়া করে। হাতজোড় করে বলছি দিরিলিস প্রচার বন্ধ করবেন না,ranoAG
আপনার এত সুন্দর কনসেপ্ট আর আইডিয়াগুলো সত্যিই যত পড়ি যত দেখি ততই অনুপ্রাণিত হই। ,ranoAG
আপনারা চাইলে এক দিনে ২০ হাজার কম্বল কিছুই না ,ranoAG
ভাই লোকটাকে মারা হয়েছিল তার প্রকৃত অপরাধ ছিল সে সংসদ ভবন খেজুর বাগানের সামনে থেকে পতিতা ভাড়া করেছিল।,ranoAG
অবশ্যই বাংলাদেশের হারানোর কিছু ছিল।যে দলটা বিশ্ব চ্যাম্পিয়ন দের হারিয়ে ফাইনাল খেলতে পারে তাদের হারানোর অনেক কিছুই থাকে।,ranoAG
ছাগল রে এটা অনেক আগের খবর।রামদেবের এপ ফেল করেছে।প্লে স্টোরে মাত্র ৬ ঘন্টা ছিল এপটা তুলে নিয়ে আবার পরীক্ষা নিরীক্ষা চলছে।,ranoAG
আসুন আমরা বাংলাদেশীরা সবাই স্বদেশী পণ্য ব্যবহার করি।,ranoAG
ভারত নামের দেশটা না থাকলে আমরা প্রতিদিন এত নিখাদ বিনোদন পেতাম না। জয় গোমূত্রের জয়,ranoAG
এত নিরাপত্তাহীনতার মধ্যেও দেশটা পরিষ্কার রাখার কাজ চালিয়ে যাচ্ছে তাই ওনাকে সেলুট। আর সরকারের দামী চেয়ারে বসা মানুষগুলোকে (যারা এদের দায়িত্বে আছে) ধিক্কার।,ranoAG
খারাপ মেয়েরা ধরা পড়লে পরোমান চায়। আর ভাল মেয়েরা ভুল করলে বুঝতে পারে। চোরের মার বড় গলা এটা মেয়েরাই পারে।,ranoAG
এসকে সিনহা আপনাদের চরিত্র তুলে ধরেছে । আপনারা যে আসলে একটি স্বৈরচার সরকার তা উনি বলে দিলেন । এতে আপনাদের কোন ক্ষতি হবে না । কারন ক্ষমতা মোহে আপনাদের কাছে লজ্জা সরম ও বিবেক সব গুলিই আজ আপনাদের নেই । তাই নির্বাচন নাটক করে নতুন ভাবে আবার ক্ষমতার স্বপ্ন যেন হিতাহিত জ্ঞান শূন্য,ranoAG
সাংসদ সাহবেদের ৭৫ হাজার টাকার মোবাইল দিছে ক্যান? এইসব ছবি তুলে সংসদে উপস্থাপন করার লাইগা,ranoAG
এতোটা ত্যাগের বিনিময়ে ও তারা আমাদের সুন্দর একটা পরিবেশ উপহার দিতে পারছে না! কারণ আমরা জাতি হিসেবে প্রচন্ড রকমের অসভ্য ও বর্বর!!,ranoAG
দেশ নাকি ডিজিটাল হইলো কিন্তু গরিবের কি উপকার হইল??এদের জন্য কি কোন ব্যবস্থা গ্রহন করবে না সরকার?,ranoAG
এদের উন্নতি না হলে দেশের উন্নতি হবেনা। সরকার তো বড় বড় উন্নয়নে ব্যস্ত। ছোটগুলো দেখার টাইম নাই। পানি আর গ্যাসের জন্য নগরের মানুষের কষ্টের শেষ নেই।,ranoAG
